Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.961 | -23.437 | -36.936 | -95.075 | -215.701 | -648.068,"-1,69% | -3,55% | -5,49% | -13,01% | -25,33% | -50,47%",,34ddías,635.963,646.924 | 659.400 | 672.899 | 731.038 | 851.664 | 1.284.031,Delantero
Sancris,Getafe,-14.326 | -30.308 | -47.458 | -121.789 | -277.578 | -835.628,"-1,96% | -4,06% | -6,21% | -14,52% | -27,92% | -53,83%",,34ddías,716.724,731.050 | 747.032 | 764.182 | 838.513 | 994.302 | 1.552.352,Delantero
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,31ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,31ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Laporte,Athletic,+263.405 | +980.432 | +1.861.631 | +6.491.630 | +18.964.011 | +38.758.744,"+0,44% | +1,64% | +3,16% | +11,96% | +45,35% | +175,97%",,25ddías,60.784.723,60.521.318 | 59.804.291 | 58.923.092 | 54.293.093 | 41.820.712 | 22.025.979,Defensa
Alemão,Rayo,-60.707 | -127.501 | -198.257 | -505.187 | -1.034.202 | -2.799.492,"-1,51% | -3,13% | -4,78% | -11,34% | -20,76% | -41,49%",,34ddías,3.948.121,4.008.828 | 4.075.622 | 4.146.378 | 4.453.308 | 4.982.323 | 6.747.613,Delantero
Diangana,Elche,-26.672 | -50.377 | -76.256 | -186.887 | -393.279 | -1.289.965,"-1,88% | -3,50% | -5,20% | -11,85% | -22,05% | -48,13%",,34ddías,1.389.958,1.416.630 | 1.440.335 | 1.466.214 | 1.576.845 | 1.783.237 | 2.679.923,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,31ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,31ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 485.400,Mediocampista
Mikautadze,Villarreal,+855.313 | +1.692.518 | +2.377.960 | +4.291.617 | +5.484.809 | +9.971.925,"+1,52% | +3,06% | +4,35% | +8,14% | +10,64% | +21,20%",,27ddías,57.010.889,56.155.576 | 55.318.371 | 54.632.929 | 52.719.272 | 51.526.080 | 47.038.964,Delantero
