Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-14.536 | -29.389 | -45.812 | -116.874 | -262.217 | -685.788,"-1,99% | -3,94% | -6,01% | -14,02% | -26,79% | -48,90%",,28ddías,716.502,731.038 | 745.891 | 762.314 | 833.376 | 978.719 | 1.402.290,Delantero
Santiago,Elche,-12.884 | -26.016 | -40.647 | -103.761 | -235.169 | -625.258,"-1,87% | -3,70% | -5,66% | -13,29% | -25,79% | -48,02%",,28ddías,676.868,689.752 | 702.884 | 717.515 | 780.629 | 912.037 | 1.302.126,Mediocampista
Hancko,Atlético,-30.719 | -59.142 | -171.737 | -1.095.702 | -4.142.246 | -9.469.651,"-0,10% | -0,19% | -0,56% | -3,46% | -11,92% | -23,64%",,26ddías,30.595.788,30.626.507 | 30.654.930 | 30.767.525 | 31.691.490 | 34.738.034 | 40.065.439,Defensa
Almada,Atlético,-161.929 | -297.254 | -442.596 | -1.133.985 | -2.319.892 | -3.249.213,"-2,34% | -4,21% | -6,14% | -14,35% | -25,53% | -32,44%",,22ddías,6.767.146,6.929.075 | 7.064.400 | 7.209.742 | 7.901.131 | 9.087.038 | 10.016.359,Mediocampista
Jonny,Alavés,-53.226 | -127.257 | -194.311 | -604.285 | -1.529.733 | -3.070.958,"-0,89% | -2,10% | -3,17% | -9,23% | -20,47% | -34,07%",,24ddías,5.943.765,5.996.991 | 6.071.022 | 6.138.076 | 6.548.050 | 7.473.498 | 9.014.723,Defensa
Alexander-Arnold,Real Madrid,-375.709 | -686.376 | -986.574 | -2.633.957 | -6.323.702 | -13.739.632,"-1,41% | -2,54% | -3,61% | -9,10% | -19,37% | -34,29%",,28ddías,26.325.807,26.701.516 | 27.012.183 | 27.312.381 | 28.959.764 | 32.649.509 | 40.065.439,Defensa
Huijsen,Real Madrid,-524.583 | -765.090 | -984.887 | -2.207.067 | -5.245.338 | -13.941.545,"-1,48% | -2,15% | -2,75% | -5,96% | -13,09% | -28,58%",,28ddías,34.838.127,35.362.710 | 35.603.217 | 35.823.014 | 37.045.194 | 40.083.465 | 48.779.672,Defensa
Ruggeri,Atlético,-77.307 | -155.875 | -221.639 | -681.846 | -1.542.658 | -1.443.374,"-1,02% | -2,04% | -2,88% | -8,36% | -17,11% | -16,19%",,22ddías,7.471.186,7.548.493 | 7.627.061 | 7.692.825 | 8.153.032 | 9.013.844 | 8.914.560,Defensa
Iván Romero,Levante,-2.459 | -48.228 | -86.647 | -275.186 | -716.010 | -1.488.493,"-0,03% | -0,68% | -1,22% | -3,77% | -9,25% | -17,48%",,17ddías,7.025.412,7.027.871 | 7.073.640 | 7.112.059 | 7.300.598 | 7.741.422 | 8.513.905,Delantero
Aguado,Elche,-43.945 | -78.811 | -111.917 | -338.703 | -908.256 | -2.336.634,"-1,18% | -2,10% | -2,96% | -8,44% | -19,82% | -38,88%",,28ddías,3.673.181,3.717.126 | 3.751.992 | 3.785.098 | 4.011.884 | 4.581.437 | 6.009.815,Mediocampista
Á. Núñez,Celta,-79.633 | -160.534 | -249.254 | -666.260 | -1.423.957 | -2.547.161,"-1,75% | -3,47% | -5,29% | -12,99% | -24,18% | -36,33%",,25ddías,4.464.290,4.543.923 | 4.624.824 | 4.713.544 | 5.130.550 | 5.888.247 | 7.011.451,Defensa
Martim Neto,Elche,-34.608 | -68.724 | -106.918 | -178.110 | -378.609 | -1.037.479,"-1,73% | -3,38% | -5,15% | -8,30% | -16,14% | -34,53%",,28ddías,1.967.428,2.002.036 | 2.036.152 | 2.074.346 | 2.145.538 | 2.346.037 | 3.004.907,Mediocampista
Affengruber,Elche,+667.006 | +1.446.873 | +2.151.972 | +4.601.682 | +7.964.551 | +21.203.973,"+2,30% | +5,14% | +7,84% | +18,40% | +36,80% | 0%",,20ddías,29.609.227,28.942.221 | 28.162.354 | 27.457.255 | 25.007.545 | 21.644.676 | 0,Defensa
John ChetauyaJohn C.,Elche,-21.988 | -44.603 | -69.112 | -174.288 | -399.481 | -1.007.755,"-2,40% | -4,75% | -7,17% | -16,29% | -30,85% | -52,95%",,28ddías,895.352,917.340 | 939.955 | 964.464 | 1.069.640 | 1.294.833 | 1.903.107,Defensa
Youssef,Alavés,-7.545 | -15.116 | -23.954 | -61.379 | -136.386 | -352.736,"-1,36% | -2,68% | -4,18% | -10,06% | -19,91% | -39,13%",,20ddías,548.735,556.280 | 563.851 | 572.689 | 610.114 | 685.121 | 901.471,Defensa
Niño,Málaga,-11.024 | -26.583 | -48.887 | -191.454 | -492.213 | -1.135.967,"-0,38% | -0,92% | -1,67% | -6,25% | -14,64% | -28,35%",,28ddías,2.870.576,2.881.600 | 2.897.159 | 2.919.463 | 3.062.030 | 3.362.789 | 4.006.543,Delantero
Gonzalo,Real Madrid,-102.653 | -210.806 | -331.324 | -600.599 | -1.038.357 | -1.976.326,"-2,61% | -5,21% | -7,96% | -13,55% | -21,31% | -34,02%",,28ddías,3.833.161,3.935.814 | 4.043.967 | 4.164.485 | 4.433.760 | 4.871.518 | 5.809.487,Delantero
Román,Celta,-59.357 | -107.618 | -178.728 | -577.287 | -1.356.190 | -3.253.924,"-1,12% | -2,00% | -3,29% | -9,89% | -20,50% | -38,22%",,28ddías,5.259.981,5.319.338 | 5.367.599 | 5.438.709 | 5.837.268 | 6.616.171 | 8.513.905,Mediocampista
Cucho,Betis,-928.883 | -1.779.191 | -2.478.625 | -2.523.997 | +1.483.219 | +13.121.125,"-1,72% | -3,24% | -4,45% | -4,53% | +2,87% | +32,75%",,4ddías,53.186.564,54.115.447 | 54.965.755 | 55.665.189 | 55.710.561 | 51.703.345 | 40.065.439,Delantero
Buchanan,Villarreal,+81.814 | +128.974 | +239.717 | +783.835 | +2.684.054 | +4.730.801,"+0,42% | +0,66% | +1,23% | +4,13% | +15,72% | +31,49%",,24ddías,19.755.340,19.673.526 | 19.626.366 | 19.515.623 | 18.971.505 | 17.071.286 | 15.024.539,Mediocampista
Jutglà,Celta,-14.739 | -74.494 | -152.599 | -669.759 | -1.819.841 | -1.634.966,"-0,16% | -0,79% | -1,60% | -6,66% | -16,24% | -14,84%",,24ddías,9.383.029,9.397.768 | 9.457.523 | 9.535.628 | 10.052.788 | 11.202.870 | 11.017.995,Delantero
Valentín Gómez,Betis,-41.388 | -82.373 | -131.303 | -331.659 | -762.759 | -1.805.962,"-1,85% | -3,61% | -5,63% | -13,10% | -25,74% | -45,08%",,28ddías,2.200.581,2.241.969 | 2.282.954 | 2.331.884 | 2.532.240 | 2.963.340 | 4.006.543,Defensa
Antony,Betis,-847.433 | -2.142.148 | -3.801.883 | -9.014.623 | -17.581.004 | -9.093.129,"-1,27% | -3,14% | -5,44% | -12,01% | -21,03% | -12,10%",,15ddías,66.029.571,66.877.004 | 68.171.719 | 69.831.454 | 75.044.194 | 83.610.575 | 75.122.700,Delantero
Ugrinic,Valencia,-123.805 | -246.684 | -353.556 | -868.843 | -1.895.153 | -3.334.126,"-2,58% | -5,01% | -7,03% | -15,66% | -28,83% | -41,61%",,26ddías,4.678.961,4.802.766 | 4.925.645 | 5.032.517 | 5.547.804 | 6.574.114 | 8.013.087,Mediocampista
Rueda,Celta,-32.057 | -57.463 | -92.591 | -243.929 | -630.780 | -1.337.460,"-0,87% | -1,54% | -2,46% | -6,23% | -14,66% | -26,71%",,26ddías,3.670.719,3.702.776 | 3.728.182 | 3.763.310 | 3.914.648 | 4.301.499 | 5.008.179,Defensa
Radu,Celta,+797.494 | +1.633.770 | +2.467.667 | +5.437.454 | +9.322.343 | +15.793.571,"+2,28% | +4,78% | +7,40% | +17,89% | +35,17% | +78,84%",,27ddías,35.826.290,35.028.796 | 34.192.520 | 33.358.623 | 30.388.836 | 26.503.947 | 20.032.719,Portero
Toljan,Levante,-40.145 | -101.761 | -167.549 | -492.354 | -1.228.328 | -2.702.028,"-0,83% | -2,07% | -3,37% | -9,29% | -20,34% | -35,97%",,26ddías,4.810.241,4.850.386 | 4.912.002 | 4.977.790 | 5.302.595 | 6.038.569 | 7.512.269,Defensa
Pablo CamposCuñat Campos,Levante,-2.937 | +5.052 | +41.729 | +100.500 | -29.395 | -507.172,"-0,23% | +0,39% | +3,33% | +8,41% | -2,22% | -28,13%",,1ddías,1.295.771,1.298.708 | 1.290.719 | 1.254.042 | 1.195.271 | 1.325.166 | 1.802.943,Portero
Víctor García,Levante,-70.284 | -143.803 | -221.932 | -552.568 | -1.250.318 | -2.884.253,"-2,61% | -5,19% | -7,80% | -17,39% | -32,27% | -52,36%",,28ddías,2.624.744,2.695.028 | 2.768.547 | 2.846.676 | 3.177.312 | 3.875.062 | 5.508.997,Defensa
Manu Fernández,Celta,-2.986 | -5.808 | -9.700 | -25.190 | -52.035 | -161.661,"-0,68% | -1,30% | -2,16% | -5,42% | -10,59% | -26,90%",,28ddías,439.320,442.306 | 445.128 | 449.020 | 464.510 | 491.355 | 600.981,Defensa
Redondo,Elche,-31.116 | -60.753 | -90.143 | -225.330 | -514.238 | -1.261.247,"-2,65% | -5,05% | -7,31% | -16,47% | -31,04% | -52,47%",,28ddías,1.142.678,1.173.794 | 1.203.431 | 1.232.821 | 1.368.008 | 1.656.916 | 2.403.925,Mediocampista
Bigas,Elche,-151.785 | -316.773 | -495.242 | -1.040.995 | -1.769.454 | -1.169.508,"-2,17% | -4,42% | -6,75% | -13,20% | -20,54% | -14,59%",,23ddías,6.843.579,6.995.364 | 7.160.352 | 7.338.821 | 7.884.574 | 8.613.033 | 8.013.087,Defensa
Gorrotxategi,Real Sociedad,-76.661 | -179.709 | -284.270 | -714.912 | -1.652.317 | +594.030,"-0,88% | -2,05% | -3,20% | -7,67% | -16,11% | +7,41%",,21ddías,8.607.117,8.683.778 | 8.786.826 | 8.891.387 | 9.322.029 | 10.259.434 | 8.013.087,Mediocampista
Deossa,Betis,-43.364 | -84.947 | -123.731 | -339.361 | -794.307 | -1.968.181,"-2,19% | -4,20% | -6,00% | -14,90% | -29,07% | -50,38%",,28ddías,1.938.198,1.981.562 | 2.023.145 | 2.061.929 | 2.277.559 | 2.732.505 | 3.906.379,Mediocampista
Elgezabal,Levante,-37.643 | -77.003 | -116.165 | -300.423 | -656.843 | -1.544.110,"-2,51% | -5,01% | -7,37% | -17,06% | -31,02% | -51,39%",,28ddías,1.460.797,1.498.440 | 1.537.800 | 1.576.962 | 1.761.220 | 2.117.640 | 3.004.907,Defensa
Oriol Rey,Levante,-24.260 | -48.976 | -74.418 | -188.287 | -426.326 | -1.053.376,"-2,49% | -4,90% | -7,27% | -16,54% | -30,98% | -52,58%",,28ddías,949.895,974.155 | 998.871 | 1.024.313 | 1.138.182 | 1.376.221 | 2.003.271,Mediocampista
C. Álvarez,Levante,+350.424 | +713.901 | +1.018.786 | +2.269.921 | +4.642.151 | +9.196.734,"+2,08% | +4,33% | +6,29% | +15,19% | +36,94% | +114,77%",,27ddías,17.209.821,16.859.397 | 16.495.920 | 16.191.035 | 14.939.900 | 12.567.670 | 8.013.087,Mediocampista
Jorge Cabello,Levante,-32.187 | -65.427 | -100.790 | +563.270 | +563.270 | +563.270,"-2,75% | -5,43% | -8,12% | 0% | 0% | 0%",,5ddías,1.140.146,1.172.333 | 1.205.573 | 1.240.936 | 0 | 0 | 0,Defensa
Roger BruguéBrugui,Levante,-89.313 | -172.587 | -265.170 | -661.094 | -1.510.197 | -3.836.702,"-2,74% | -5,16% | -7,71% | -17,23% | -32,24% | -54,72%",,29ddías,3.174.749,3.264.062 | 3.347.336 | 3.439.919 | 3.835.843 | 4.684.946 | 7.011.451,Delantero
Dolan,Espanyol,-89.560 | -185.672 | -290.018 | -672.357 | -1.436.444 | -1.391.197,"-1,33% | -2,73% | -4,20% | -9,22% | -17,83% | -17,36%",,21ddías,6.621.890,6.711.450 | 6.807.562 | 6.911.908 | 7.294.247 | 8.058.334 | 8.013.087,Delantero
Dituro,Elche,-32.519 | -92.946 | -141.869 | -330.649 | -767.741 | -1.420.782,"-0,49% | -1,39% | -2,11% | -4,78% | -10,43% | -17,73%",,28ddías,6.592.305,6.624.824 | 6.685.251 | 6.734.174 | 6.922.954 | 7.360.046 | 8.013.087,Portero
Junior,Betis,-105.492 | -199.589 | -309.583 | -767.865 | -1.710.845 | -3.559.714,"-2,31% | -4,29% | -6,50% | -14,71% | -27,75% | -44,42%",,28ddías,4.453.373,4.558.865 | 4.652.962 | 4.762.956 | 5.221.238 | 6.164.218 | 8.013.087,Defensa
Valera,Elche,-228.905 | -461.467 | -724.192 | -1.856.530 | -3.477.526 | -38.455.567,"-0,92% | -1,84% | -2,85% | -7,00% | -12,35% | 0%",,19ddías,24.673.810,24.902.715 | 25.135.277 | 25.398.002 | 26.530.340 | 28.151.336 | 0,Mediocampista
Sannadi,Athletic,-4.540 | -8.981 | -14.559 | -37.525 | -80.784 | -224.535,"-0,94% | -1,85% | -2,96% | -7,30% | -14,49% | -32,02%",,28ddías,476.609,481.149 | 485.590 | 491.168 | 514.134 | 557.393 | 701.144,Delantero
Veiga,Villarreal,+621.535 | +1.389.805 | +1.912.983 | +4.471.388 | +9.532.071 | +17.665.608,"+1,48% | +3,36% | +4,69% | +11,69% | +28,73% | +70,55%",,27ddías,42.706.507,42.084.972 | 41.316.702 | 40.793.524 | 38.235.119 | 33.174.436 | 25.040.899,Defensa
Danjuma,Valencia,-1.032 | -31.867 | -47.204 | -252.889 | -736.108 | -1.651.250,"-0,02% | -0,73% | -1,07% | -5,48% | -14,45% | -27,48%",,28ddías,4.358.565,4.359.597 | 4.390.432 | 4.405.769 | 4.611.454 | 5.094.673 | 6.009.815,Delantero
Letácek,Getafe,-20.987 | -41.082 | -62.622 | -159.216 | -386.992 | -988.308,"-2,24% | -4,30% | -6,41% | -14,82% | -29,73% | -51,93%",,28ddías,914.799,935.786 | 955.881 | 977.421 | 1.074.015 | 1.301.791 | 1.903.107,Portero
Álvaro,Deportivo,-94.096 | -162.198 | -242.128 | -570.190 | -1.597.882 | -3.772.638,"-1,61% | -2,75% | -4,05% | -9,03% | -21,77% | -39,65%",,28ddías,5.742.903,5.836.999 | 5.905.101 | 5.985.031 | 6.313.093 | 7.340.785 | 9.515.541,Portero
L. Sucic,Real Sociedad,-51.256 | -87.749 | -142.271 | -385.354 | -914.604 | -1.755.244,"-1,28% | -2,17% | -3,47% | -8,88% | -18,79% | -30,74%",,25ddías,3.954.080,4.005.336 | 4.041.829 | 4.096.351 | 4.339.434 | 4.868.684 | 5.709.324,Mediocampista
Pedro Díaz,Rayo,-33.600 | -69.908 | -103.497 | -256.454 | -637.178 | -1.892.710,"-1,56% | -3,20% | -4,67% | -10,82% | -23,16% | -47,24%",,29ddías,2.113.833,2.147.433 | 2.183.741 | 2.217.330 | 2.370.287 | 2.751.011 | 4.006.543,Mediocampista
Bretones,Osasuna,+95.046 | +177.618 | +251.069 | +453.146 | +414.783 | +41.899,"+4,22% | +8,19% | +11,99% | +23,94% | +21,48% | +1,82%",,10ddías,2.345.661,2.250.615 | 2.168.043 | 2.094.592 | 1.892.515 | 1.930.878 | 2.303.762,Defensa
D. Llorente,Betis,+341.654 | +631.651 | +874.018 | +1.569.839 | +2.036.845 | +3.039.786,"+3,25% | +6,18% | +8,76% | +16,91% | +23,10% | +38,91%",,12ddías,10.852.545,10.510.891 | 10.220.894 | 9.978.527 | 9.282.706 | 8.815.700 | 7.812.759,Defensa
Pape Gueye,Villarreal,+716.497 | +1.082.435 | +1.171.719 | +130.311 | -3.471.335 | -9.674.863,"+1,81% | +2,75% | +2,99% | +0,32% | -7,91% | -19,32%",,3ddías,40.406.936,39.690.439 | 39.324.501 | 39.235.217 | 40.276.625 | 43.878.271 | 50.081.799,Mediocampista
Pépé,Villarreal,-835.084 | -1.734.091 | -2.645.081 | -7.141.631 | -38.073.069 | -38.073.069,"-1,53% | -3,12% | -4,68% | -11,70% | 0% | 0%",,13ddías,53.891.868,54.726.952 | 55.625.959 | 56.536.949 | 61.033.499 | 0 | 0,Delantero
Andrés Martín,Racing,-315.362 | -589.638 | -912.142 | -2.146.497 | -4.517.959 | +20.234.816,"-1,41% | -2,61% | -3,98% | -8,89% | -17,05% | 0%",,19ddías,21.986.124,22.301.486 | 22.575.762 | 22.898.266 | 24.132.621 | 26.504.083 | 0,Delantero
Jauregizar,Athletic,+435.795 | +785.045 | +1.250.638 | +2.698.845 | +5.832.361 | +9.774.072,"+1,79% | +3,27% | +5,31% | +12,21% | +30,75% | +65,05%",,27ddías,24.798.611,24.362.816 | 24.013.566 | 23.547.973 | 22.099.766 | 18.966.250 | 15.024.539,Mediocampista
Kambwala,Villarreal,-35.411 | -71.918 | -109.943 | -272.569 | -630.719 | -1.524.018,"-2,34% | -4,63% | -6,91% | -15,54% | -29,87% | -50,72%",,28ddías,1.480.889,1.516.300 | 1.552.807 | 1.590.832 | 1.753.458 | 2.111.608 | 3.004.907,Defensa
Ejuke,Sevilla,-48.438 | -94.080 | -142.766 | -357.709 | -806.988 | -1.838.144,"-1,50% | -2,88% | -4,31% | -10,14% | -20,29% | -36,70%",,28ddías,3.170.035,3.218.473 | 3.264.115 | 3.312.801 | 3.527.744 | 3.977.023 | 5.008.179,Delantero
