Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-11.325 | -22.970 | -33.871 | -78.592 | -181.506 | -532.592,"-1,91% | -3,80% | -5,51% | -11,92% | -23,81% | -47,83%",,39ddías,580.808,592.133 | 603.778 | 614.679 | 659.400 | 762.314 | 1.113.400,Delantero
Mikautadze,Villarreal,+988.675 | +1.782.084 | +2.867.380 | +6.819.508 | +9.849.061 | +14.956.812,"+1,62% | +2,95% | +4,84% | +12,33% | +18,84% | +31,70%",,32ddías,62.137.879,61.149.204 | 60.355.795 | 59.270.499 | 55.318.371 | 52.288.818 | 47.181.067,Delantero
Juan Hernández,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,581.760,581.760 | 581.760 | 581.760 | 581.760 | 581.760 | 581.760,Mediocampista
Adrián Pérez,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Monreal,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Defensa
Ballestero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Aller,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Portero
Martínez Bastida,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Taufik,Atlético,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Mediocampista
Bardghji,Barcelona,-105.605 | -214.370 | -324.684 | -712.210 | -1.555.547 | -1.720.655,"-3,30% | -6,47% | -9,49% | -18,69% | -33,43% | -35,71%",,15ddías,3.097.910,3.203.515 | 3.312.280 | 3.422.594 | 3.810.120 | 4.653.457 | 4.818.565,Delantero
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Laporte,Athletic,-1.279.645 | -2.636.121 | -4.061.864 | -4.595.728 | +4.218.251 | +32.078.789,"-2,27% | -4,56% | -6,85% | -7,68% | +8,27% | +138,69%",,5ddías,55.208.563,56.488.208 | 57.844.684 | 59.270.427 | 59.804.291 | 50.990.312 | 23.129.774,Defensa
Alemão,Rayo,-16.536 | -67.425 | -116.245 | -364.469 | -896.929 | -2.376.197,"-0,44% | -1,78% | -3,04% | -8,94% | -19,46% | -39,03%",,39ddías,3.711.153,3.727.689 | 3.778.578 | 3.827.398 | 4.075.622 | 4.608.082 | 6.087.350,Delantero
Diangana,Elche,-37.560 | -75.214 | -106.066 | -206.717 | -403.767 | -1.100.168,"-2,95% | -5,75% | -7,92% | -14,35% | -24,66% | -47,14%",,39ddías,1.233.618,1.271.178 | 1.308.832 | 1.339.684 | 1.440.335 | 1.637.385 | 2.333.786,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Benito,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Portero
Oluwaseyi,Villarreal,-51.002 | -110.898 | -172.001 | -421.025 | -970.638 | -2.735.919,"-1,77% | -3,77% | -5,73% | -12,96% | -25,55% | -49,17%",,39ddías,2.828.057,2.879.059 | 2.938.955 | 3.000.058 | 3.249.082 | 3.798.695 | 5.563.976,Delantero
Sierra,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Blázquez,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,581.656,581.656 | 581.656 | 581.656 | 581.656 | 581.656 | 581.656,Delantero
Suazo,Sevilla,+4.248 | -12.685 | -22.245 | -220.346 | -799.685 | -2.605.843,"+0,08% | -0,23% | -0,41% | -3,93% | -12,93% | -32,61%",,1ddías,5.385.408,5.381.160 | 5.398.093 | 5.407.653 | 5.605.754 | 6.185.093 | 7.991.251,Defensa
Ryan,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,13.550.652,13.550.652 | 13.550.652 | 13.550.652 | 13.550.652 | 13.550.652 | 13.550.652,Portero
Arriaga,Levante,-44.442 | -99.304 | -147.658 | -378.639 | -891.577 | -2.535.091,"-1,67% | -3,65% | -5,33% | -12,62% | -25,37% | -49,15%",,39ddías,2.622.453,2.666.895 | 2.721.757 | 2.770.111 | 3.001.092 | 3.514.030 | 5.157.544,Mediocampista
Vlachodimos,Sevilla,+557.624 | +915.485 | +1.458.659 | +3.219.428 | +2.699.453 | +2.699.453,"+3,24% | +5,44% | +8,95% | +22,15% | +17,93% | +17,93%",,9ddías,17.755.932,17.198.308 | 16.840.447 | 16.297.273 | 14.536.504 | 15.056.479 | 15.056.479,Portero
Montero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Portero
Cardoso,Sevilla,-19.202 | -41.788 | -65.116 | -162.513 | -365.355 | -1.048.208,"-2,18% | -4,63% | -7,04% | -15,89% | -29,81% | -54,93%",,39ddías,860.227,879.429 | 902.015 | 925.343 | 1.022.740 | 1.225.582 | 1.908.435,Defensa
Riedel,Espanyol,-75.547 | -161.579 | -242.774 | -493.487 | -863.201 | -863.201,"-1,60% | -3,35% | -4,95% | -9,58% | -15,64% | -15,64%",,9ddías,4.657.417,4.732.964 | 4.818.996 | 4.900.191 | 5.150.904 | 5.520.618 | 5.520.618,Defensa
Sancris,Getafe,-14.069 | -28.572 | -42.450 | -100.373 | -231.959 | -692.300,"-2,13% | -4,23% | -6,16% | -13,44% | -26,40% | -51,70%",,39ddías,646.659,660.728 | 675.231 | 689.109 | 747.032 | 878.618 | 1.338.959,Delantero
Carlos Soler,Real Sociedad,+466.598 | +583.220 | +721.473 | +436.431 | -1.296.931 | -6.409.599,"+1,51% | +1,89% | +2,35% | +1,41% | -3,96% | -16,93%",,3ddías,31.442.021,30.975.423 | 30.858.801 | 30.720.548 | 31.005.590 | 32.738.952 | 37.851.620,Mediocampista
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Oso,Sevilla,-458.673 | -949.652 | -949.652 | -949.652 | -949.652 | -949.652,"-3,38% | -6,76% | -6,76% | -6,76% | -6,76% | -6,76%",,2ddías,13.103.680,13.562.353 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332,Defensa
Espart,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Defensa
Aleksandrov,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Delantero
Nacho Pérez,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,581.692,581.692 | 581.692 | 581.692 | 581.692 | 581.692 | 581.692,Defensa
Dani Martínez,Atlético,0 | -35 | -3.085 | -12.991 | -39.467 | -101.997,"0,00% | -0,01% | -0,74% | -3,03% | -8,68% | -19,72%",,1ddías,415.311,415.311 | 415.346 | 418.396 | 428.302 | 454.778 | 517.308,Defensa
Joan Martínez,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,702.622,702.622 | 702.622 | 702.622 | 702.622 | 702.622 | 702.622,Defensa
Iker Muñoz,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Defensa
Oláiz,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Izei,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,582.010,582.010 | 582.010 | 582.010 | 582.010 | 582.010 | 582.010,Mediocampista
Aitor Mañas,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,562.164,562.164 | 562.164 | 562.164 | 562.164 | 562.164 | 562.164,Delantero
Hierro,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Boñar,Atlético,0 | -35 | -4.328 | -19.744 | -58.320 | -169.954,"0,00% | -0,01% | -0,96% | -4,25% | -11,58% | -27,63%",,1ddías,445.140,445.140 | 445.175 | 449.468 | 464.884 | 503.460 | 615.094,Defensa
Carlos Macià,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,803.057,803.057 | 803.057 | 803.057 | 803.057 | 803.057 | 803.057,Mediocampista
Puric,Atlético,0 | -35 | -3.900 | -17.420 | -51.830 | -153.221,"0,00% | -0,01% | -0,89% | -3,85% | -10,65% | -26,05%",,1ddías,434.872,434.872 | 434.907 | 438.772 | 452.292 | 486.702 | 588.093,Defensa
Marqués,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Defensa
Arcos,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Cestero,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Mediocampista
Montes,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,36ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Defensa
