Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-14.249 | -29.142 | -43.975 | -109.932 | -248.504 | -718.345,"-2,03% | -4,07% | -6,02% | -13,79% | -26,56% | -51,11%",,30ddías,687.063,701.312 | 716.205 | 731.038 | 796.995 | 935.567 | 1.405.408,Delantero
Vlachodimos,Sevilla,-1.013.903 | -1.013.903 | -1.013.903 | -1.013.903 | -1.013.903 | -996.806,"-6,73% | -6,73% | -6,73% | -6,73% | -6,73% | 0%",,1ddías,14.042.576,15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 0,Portero
Diangana,Elche,-27.864 | -54.350 | -83.971 | -202.194 | -453.034 | -1.418.327,"-1,83% | -3,51% | -5,33% | -11,93% | -23,28% | -48,72%",,30ddías,1.492.874,1.520.738 | 1.547.224 | 1.576.845 | 1.695.068 | 1.945.908 | 2.911.201,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +675,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 0,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | +579,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 0,Mediocampista
Mikautadze,Villarreal,+436.717 | +1.086.666 | +1.416.175 | +2.003.780 | +3.433.532 | +5.902.676,"+0,81% | +2,05% | +2,69% | +3,84% | +6,77% | +12,24%",,23ddías,54.135.447,53.698.730 | 53.048.781 | 52.719.272 | 52.131.667 | 50.701.915 | 48.232.771,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +598,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 0,Defensa
Cardoso,Sevilla,-29.577 | -57.123 | -88.962 | -216.643 | -488.525 | -1.332.663,"-2,67% | -5,04% | -7,63% | -16,75% | -31,21% | -55,31%",,30ddías,1.076.606,1.106.183 | 1.133.729 | 1.165.568 | 1.293.249 | 1.565.131 | 2.409.269,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +16.576,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 0,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | +710,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 0,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | +770,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 0,Portero
Carlos Soler,Real Sociedad,-275.166 | -566.230 | -740.259 | -1.753.285 | -4.033.108 | -8.640.651,"-0,87% | -1,77% | -2,30% | -5,27% | -11,35% | -21,52%",,30ddías,31.513.885,31.789.051 | 32.080.115 | 32.254.144 | 33.267.170 | 35.546.993 | 40.154.536,Mediocampista
Sancris,Getafe,-18.210 | -37.230 | -56.362 | -141.042 | -321.355 | -924.415,"-2,28% | -4,54% | -6,72% | -15,28% | -29,12% | -54,17%",,30ddías,782.151,800.361 | 819.381 | 838.513 | 923.193 | 1.103.506 | 1.706.566,Delantero
Riedel,Espanyol,0 | 0 | 0 | 0 | 0 | +6.179,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,27ddías,5.520.618,5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 0,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,27ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Portero
Oluwaseyi,Villarreal,-81.179 | -158.234 | -240.939 | -578.506 | -1.301.995 | -3.127.012,"-2,33% | -4,45% | -6,62% | -14,55% | -27,70% | -47,92%",,30ddías,3.398.099,3.479.278 | 3.556.333 | 3.639.038 | 3.976.605 | 4.700.094 | 6.525.111,Delantero
