Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-12.476 | -25.975 | -40.138 | -98.967 | -223.381 | -679.606,"-1,89% | -3,86% | -5,84% | -13,27% | -25,67% | -51,23%",,33ddías,646.924,659.400 | 672.899 | 687.062 | 745.891 | 870.305 | 1.326.530,Delantero
Alexander-Arnold,Real Madrid,-274.617 | -533.201 | -811.834 | -2.087.974 | -4.894.846 | -14.332.616,"-1,09% | -2,09% | -3,15% | -7,73% | -16,42% | -36,51%",,33ddías,24.924.209,25.198.826 | 25.457.410 | 25.736.043 | 27.012.183 | 29.819.055 | 39.256.825,Defensa
Deossa,Betis,+27.957 | +35.694 | -1.837 | -168.345 | -539.111 | -1.884.505,"+1,53% | +1,96% | -0,10% | -8,32% | -22,52% | -50,40%",,2ddías,1.854.800,1.826.843 | 1.819.106 | 1.856.637 | 2.023.145 | 2.393.911 | 3.739.305,Mediocampista
Valentín Gómez,Betis,-41.420 | -80.707 | -123.154 | -292.516 | -655.023 | -1.900.082,"-2,04% | -3,90% | -5,83% | -12,81% | -24,76% | -48,84%",,33ddías,1.990.438,2.031.858 | 2.071.145 | 2.113.592 | 2.282.954 | 2.645.461 | 3.890.520,Defensa
Martim Neto,Elche,-24.891 | -57.563 | -86.493 | -219.225 | -370.987 | -1.125.308,"-1,35% | -3,07% | -4,54% | -10,77% | -16,96% | -38,25%",,33ddías,1.816.927,1.841.818 | 1.874.490 | 1.903.420 | 2.036.152 | 2.187.914 | 2.942.235,Mediocampista
Jutglà,Celta,-30.587 | -101.373 | -180.148 | -320.651 | -1.196.720 | -3.957.943,"-0,33% | -1,10% | -1,93% | -3,39% | -11,58% | -30,23%",,29ddías,9.136.872,9.167.459 | 9.238.245 | 9.317.020 | 9.457.523 | 10.333.592 | 13.094.815,Delantero
Hancko,Atlético,+785.496 | +1.372.987 | +1.787.052 | +2.212.613 | +491.431 | -6.822.173,"+2,45% | +4,36% | +5,75% | +7,22% | +1,52% | -17,19%",,5ddías,32.867.543,32.082.047 | 31.494.556 | 31.080.491 | 30.654.930 | 32.376.112 | 39.689.716,Defensa
Almada,Atlético,-166.070 | -332.062 | -488.753 | -1.111.992 | -2.258.306 | -4.250.950,"-2,71% | -5,28% | -7,59% | -15,74% | -27,50% | -41,66%",,27ddías,5.952.408,6.118.478 | 6.284.470 | 6.441.161 | 7.064.400 | 8.210.714 | 10.203.358,Mediocampista
Jonny,Alavés,-58.789 | -107.644 | -180.162 | -405.390 | -1.116.432 | -3.492.660,"-1,03% | -1,86% | -3,08% | -6,68% | -16,46% | -38,14%",,29ddías,5.665.632,5.724.421 | 5.773.276 | 5.845.794 | 6.071.022 | 6.782.064 | 9.158.292,Defensa
Huijsen,Real Madrid,-549.219 | -1.119.562 | -1.813.065 | -3.918.889 | -5.832.974 | -15.705.088,"-1,70% | -3,41% | -5,41% | -11,01% | -15,55% | -33,14%",,33ddías,31.684.328,32.233.547 | 32.803.890 | 33.497.393 | 35.603.217 | 37.517.302 | 47.389.416,Defensa
