Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-15.574 | -32.273 | -49.221 | -121.347 | -272.262 | -670.348,"-2,09% | -4,23% | -6,31% | -14,25% | -27,16% | -47,86%",,27ddías,730.317,745.891 | 762.590 | 779.538 | 851.664 | 1.002.579 | 1.400.665,Delantero
Oluwaseyi,Villarreal,-80.901 | -164.432 | -250.183 | -613.687 | -1.423.901 | -2.867.475,"-2,18% | -4,33% | -6,44% | -14,44% | -28,14% | -44,09%",,27ddías,3.635.612,3.716.513 | 3.800.044 | 3.885.795 | 4.249.299 | 5.059.513 | 6.503.087,Delantero
Alemão,Rayo,-81.346 | -162.022 | -235.673 | -534.063 | -1.211.637 | -2.555.064,"-1,80% | -3,51% | -5,03% | -10,72% | -21,41% | -36,48%",,27ddías,4.448.260,4.529.606 | 4.610.282 | 4.683.933 | 4.982.323 | 5.659.897 | 7.003.324,Delantero
Diangana,Elche,-29.397 | -62.947 | -96.275 | -208.151 | -530.212 | -1.326.291,"-1,83% | -3,84% | -5,76% | -11,67% | -25,18% | -45,71%",,27ddías,1.575.086,1.604.483 | 1.638.033 | 1.671.361 | 1.783.237 | 2.105.298 | 2.901.377,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +1.964,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,33%",,24ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 600.285,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -14.837,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -2,97%",,24ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 500.237,Mediocampista
Mikautadze,Villarreal,+109.433 | +277.550 | +346.567 | +1.082.074 | +3.160.298 | +2.584.405,"+0,21% | +0,53% | +0,66% | +2,10% | +6,39% | +5,17%",,20ddías,52.608.154,52.498.721 | 52.330.604 | 52.261.587 | 51.526.080 | 49.447.856 | 50.023.749,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +1.672,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,33%",,24ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 500.237,Defensa
Cardoso,Sevilla,-30.417 | -61.229 | -94.039 | -237.406 | -541.544 | -1.236.447,"-2,55% | -4,99% | -7,47% | -16,93% | -31,74% | -51,49%",,27ddías,1.164.692,1.195.109 | 1.225.921 | 1.258.731 | 1.402.098 | 1.706.236 | 2.401.139,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +46.683,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,33%",,24ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.006.649,Defensa
