Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-13.549 | -27.798 | -42.691 | -106.017 | -239.478 | -731.821,"-1,97% | -3,96% | -5,96% | -13,60% | -26,23% | -52,07%",,31ddías,673.514,687.063 | 701.312 | 716.205 | 779.531 | 912.992 | 1.405.335,Delantero
Oluwaseyi,Villarreal,-74.170 | -155.349 | -232.404 | -561.832 | -1.252.668 | -3.200.845,"-2,18% | -4,46% | -6,53% | -14,46% | -27,37% | -49,06%",,31ddías,3.323.929,3.398.099 | 3.479.278 | 3.556.333 | 3.885.761 | 4.576.597 | 6.524.774,Delantero
Alemão,Rayo,-72.966 | -150.713 | -223.042 | -533.254 | -1.124.088 | -2.876.061,"-1,73% | -3,50% | -5,10% | -11,38% | -21,31% | -40,93%",,31ddías,4.150.618,4.223.584 | 4.301.331 | 4.373.660 | 4.683.872 | 5.274.706 | 7.026.679,Delantero
Diangana,Elche,-25.118 | -52.982 | -79.468 | -203.583 | -435.153 | -1.443.294,"-1,68% | -3,48% | -5,14% | -12,18% | -22,87% | -49,58%",,31ddías,1.467.756,1.492.874 | 1.520.738 | 1.547.224 | 1.671.339 | 1.902.909 | 2.911.050,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | -1.051.650,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -63,59%",,28ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 1.653.899,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -1.168.499,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -70,65%",,28ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 1.653.899,Mediocampista
Mikautadze,Villarreal,+620.453 | +1.057.170 | +1.707.119 | +2.495.414 | +3.824.663 | +6.525.621,"+1,15% | +1,97% | +3,22% | +4,77% | +7,51% | +13,53%",,24ddías,54.755.900,54.135.447 | 53.698.730 | 53.048.781 | 52.260.486 | 50.931.237 | 48.230.279,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | -1.151.990,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -69,65%",,28ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 1.653.899,Defensa
Cardoso,Sevilla,-27.577 | -57.154 | -84.700 | -209.693 | -472.942 | -1.360.115,"-2,56% | -5,17% | -7,47% | -16,66% | -31,07% | -56,46%",,31ddías,1.049.029,1.076.606 | 1.106.183 | 1.133.729 | 1.258.722 | 1.521.971 | 2.409.144,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +12.375.353,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +737,52%",,28ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 1.677.979,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | -1.051.615,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -63,58%",,28ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 1.653.899,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | -974.609,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -58,11%",,28ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 1.677.215,Portero
Carlos Soler,Real Sociedad,-206.720 | -481.886 | -772.950 | -1.752.943 | -3.841.394 | -8.845.297,"-0,66% | -1,52% | -2,41% | -5,30% | -10,93% | -22,03%",,31ddías,31.307.165,31.513.885 | 31.789.051 | 32.080.115 | 33.060.108 | 35.148.559 | 40.152.462,Mediocampista
Sancris,Getafe,-17.353 | -35.563 | -54.583 | -135.883 | -309.415 | -941.679,"-2,22% | -4,44% | -6,66% | -15,09% | -28,80% | -55,18%",,31ddías,764.798,782.151 | 800.361 | 819.381 | 900.681 | 1.074.213 | 1.706.477,Delantero
Riedel,Espanyol,0 | 0 | 0 | 0 | 0 | +3.857.643,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +231,97%",,28ddías,5.520.618,5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 1.662.975,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | -1.070.603,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -64,00%",,28ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 1.672.919,Portero
Vlachodimos,Sevilla,+201.368 | -812.535 | -812.535 | -812.535 | -812.535 | +12.471.911,"+1,43% | -5,40% | -5,40% | -5,40% | -5,40% | +703,82%",,1ddías,14.243.944,14.042.576 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 1.772.033,Portero
Santos,Athletic,0 | 0 | 0 | 0 | 0 | -974.770,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -58,11%",,28ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 1.677.376,Portero
Veiga,Villarreal,+264.473 | +737.728 | +1.435.092 | +3.936.751 | +8.411.350 | +18.999.705,"+0,60% | +1,70% | +3,36% | +9,80% | +23,57% | +75,71%",,30ddías,44.094.993,43.830.520 | 43.357.265 | 42.659.901 | 40.158.242 | 35.683.643 | 25.095.288,Defensa
Mendoza,Atlético,-9.430 | -14.335 | -24.329 | -78.969 | -206.818 | -588.844,"-1,02% | -1,54% | -2,58% | -7,93% | -18,41% | -39,11%",,31ddías,916.871,926.301 | 931.206 | 941.200 | 995.840 | 1.123.689 | 1.505.715,Mediocampista
