Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.230 | -21.191 | -33.667 | -90.472 | -207.643 | -620.520,"-1,61% | -3,28% | -5,11% | -12,63% | -24,92% | -49,79%",,35ddías,625.733,635.963 | 646.924 | 659.400 | 716.205 | 833.376 | 1.246.253,Delantero
Aguado,Elche,-13.911 | -31.184 | -50.774 | -161.185 | -502.006 | -2.100.612,"-0,39% | -0,88% | -1,43% | -4,39% | -12,51% | -37,44%",,35ddías,3.509.878,3.523.789 | 3.541.062 | 3.560.652 | 3.671.063 | 4.011.884 | 5.610.490,Mediocampista
Martim Neto,Elche,-26.087 | -48.592 | -73.483 | -198.173 | -377.203 | -1.051.111,"-1,45% | -2,67% | -3,99% | -10,08% | -17,58% | -37,28%",,35ddías,1.768.335,1.794.422 | 1.816.927 | 1.841.818 | 1.966.508 | 2.145.538 | 2.819.446,Mediocampista
Jutglà,Celta,-12.430 | -43.789 | -74.376 | -282.643 | -959.705 | -4.026.505,"-0,14% | -0,48% | -0,81% | -3,01% | -9,55% | -30,69%",,31ddías,9.093.083,9.105.513 | 9.136.872 | 9.167.459 | 9.375.726 | 10.052.788 | 13.119.588,Delantero
Hancko,Atlético,+740.877 | +1.584.591 | +2.370.087 | +3.880.496 | +2.760.644 | -4.282.741,"+2,20% | +4,82% | +7,39% | +12,69% | +8,71% | -11,06%",,7ddías,34.452.134,33.711.257 | 32.867.543 | 32.082.047 | 30.571.638 | 31.691.490 | 38.734.875,Defensa
Jonny,Alavés,-47.855 | -110.513 | -169.302 | -384.872 | -992.931 | -3.527.167,"-0,85% | -1,95% | -2,96% | -6,48% | -15,16% | -38,84%",,31ddías,5.555.119,5.602.974 | 5.665.632 | 5.724.421 | 5.939.991 | 6.548.050 | 9.082.286,Defensa
Alexander-Arnold,Real Madrid,-295.175 | -534.242 | -808.859 | -1.921.841 | -4.569.797 | -13.628.150,"-1,20% | -2,14% | -3,21% | -7,30% | -15,78% | -35,85%",,35ddías,24.389.967,24.685.142 | 24.924.209 | 25.198.826 | 26.311.808 | 28.959.764 | 38.018.117,Defensa
Huijsen,Real Madrid,-501.208 | -1.054.819 | -1.604.038 | -4.190.624 | -6.415.685 | -15.581.480,"-1,61% | -3,33% | -4,98% | -12,04% | -17,32% | -33,72%",,35ddías,30.629.509,31.130.717 | 31.684.328 | 32.233.547 | 34.820.133 | 37.045.194 | 46.210.989,Defensa
Ruggeri,Atlético,-148.129 | -265.314 | -393.860 | -718.584 | -1.405.113 | -3.187.312,"-2,15% | -3,78% | -5,51% | -9,62% | -17,23% | -32,08%",,29ddías,6.747.919,6.896.048 | 7.013.233 | 7.141.779 | 7.466.503 | 8.153.032 | 9.935.231,Defensa
Iván Romero,Levante,+34 | -16.616 | -46.369 | -187.617 | -468.438 | -1.374.709,"+0,00% | -0,24% | -0,67% | -2,67% | -6,42% | -16,75%",,1ddías,6.832.160,6.832.126 | 6.848.776 | 6.878.529 | 7.019.777 | 7.300.598 | 8.206.869,Delantero
Santiago,Elche,-8.989 | -18.657 | -29.787 | -80.621 | -184.679 | -561.893,"-1,49% | -3,04% | -4,76% | -11,92% | -23,66% | -48,53%",,35ddías,595.950,604.939 | 614.607 | 625.737 | 676.571 | 780.629 | 1.157.843,Mediocampista
Deossa,Betis,+31.887 | +53.841 | +81.798 | -28.831 | -368.918 | -1.615.413,"+1,70% | +2,90% | +4,48% | -1,49% | -16,20% | -45,84%",,4ddías,1.908.641,1.876.754 | 1.854.800 | 1.826.843 | 1.937.472 | 2.277.559 | 3.524.054,Mediocampista
Á. Núñez,Celta,-63.581 | -130.271 | -206.350 | -526.933 | -1.195.258 | -2.901.693,"-1,59% | -3,20% | -4,98% | -11,81% | -23,30% | -42,44%",,32ddías,3.935.292,3.998.873 | 4.065.563 | 4.141.642 | 4.462.225 | 5.130.550 | 6.836.985,Defensa
Affengruber,Elche,+243.560 | +679.228 | +1.107.805 | +3.433.855 | +7.998.642 | +24.600.933,"+0,74% | +2,10% | +3,47% | +11,61% | +31,98% | 0%",,27ddías,33.006.187,32.762.627 | 32.326.959 | 31.898.382 | 29.572.332 | 25.007.545 | 0,Defensa
