Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.901 | -21.882 | -32.185 | -83.284 | -193.217 | -576.587,"-1,77% | -3,50% | -5,06% | -12,12% | -24,24% | -48,85%",,37ddías,603.778,614.679 | 625.660 | 635.963 | 687.062 | 796.995 | 1.180.365,Delantero
Sancris,Getafe,-13.878 | -27.960 | -41.493 | -106.918 | -247.962 | -747.188,"-2,01% | -3,98% | -5,79% | -13,67% | -26,86% | -52,53%",,37ddías,675.231,689.109 | 703.191 | 716.724 | 782.149 | 923.193 | 1.422.419,Delantero
Bardghji,Barcelona,-110.314 | -212.037 | -297.523 | -716.700 | -1.506.285 | -1.506.285,"-3,22% | -6,02% | -8,24% | -17,79% | -31,26% | -31,26%",,13ddías,3.312.280,3.422.594 | 3.524.317 | 3.609.803 | 4.028.980 | 4.818.565 | 4.818.565,Delantero
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Laporte,Athletic,-1.425.743 | -2.528.937 | -2.940.039 | -259.767 | +10.387.775 | +35.818.705,"-2,41% | -4,19% | -4,84% | -0,45% | +21,89% | +162,62%",,3ddías,57.844.684,59.270.427 | 60.373.621 | 60.784.723 | 58.104.451 | 47.456.909 | 22.025.979,Defensa
Alemão,Rayo,-48.820 | -104.513 | -169.543 | -444.997 | -973.537 | -2.599.543,"-1,28% | -2,69% | -4,29% | -10,54% | -20,49% | -40,76%",,37ddías,3.778.578,3.827.398 | 3.883.091 | 3.948.121 | 4.223.575 | 4.752.115 | 6.378.121,Delantero
Diangana,Elche,-30.852 | -55.523 | -81.126 | -184.039 | -386.236 | -1.163.877,"-2,30% | -4,07% | -5,84% | -12,33% | -22,79% | -47,07%",,37ddías,1.308.832,1.339.684 | 1.364.355 | 1.389.958 | 1.492.871 | 1.695.068 | 2.472.709,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Mikautadze,Villarreal,+1.085.296 | +2.388.370 | +3.344.906 | +6.218.228 | +8.224.128 | +13.562.438,"+1,83% | +4,12% | +5,87% | +11,49% | +15,78% | +28,98%",,30ddías,60.355.795,59.270.499 | 57.967.425 | 57.010.889 | 54.137.567 | 52.131.667 | 46.793.357,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Cardoso,Sevilla,-23.328 | -47.254 | -71.041 | -174.590 | -391.234 | -1.120.923,"-2,52% | -4,98% | -7,30% | -16,22% | -30,25% | -55,41%",,37ddías,902.015,925.343 | 949.269 | 973.056 | 1.076.605 | 1.293.249 | 2.022.938,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,34ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Carlos Soler,Real Sociedad,+138.253 | +109.594 | +47.954 | -654.989 | -2.408.369 | -7.360.321,"+0,45% | +0,36% | +0,16% | -2,08% | -7,24% | -19,26%",,1ddías,30.858.801,30.720.548 | 30.749.207 | 30.810.847 | 31.513.790 | 33.267.170 | 38.219.122,Mediocampista
