Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-17.457 | -36.401 | -53.838 | -133.454 | -303.960 | -620.462,"-2,19% | -4,46% | -6,46% | -14,62% | -28,05% | -44,32%",,24ddías,779.538,796.995 | 815.939 | 833.376 | 912.992 | 1.083.498 | 1.400.000,Delantero
Oluwaseyi,Villarreal,-90.810 | -182.051 | -274.856 | -690.802 | -1.537.431 | -2.614.205,"-2,28% | -4,48% | -6,61% | -15,09% | -28,35% | -40,22%",,24ddías,3.885.795,3.976.605 | 4.067.846 | 4.160.651 | 4.576.597 | 5.423.226 | 6.500.000,Delantero
Alemão,Rayo,-68.182 | -141.036 | -206.862 | -590.773 | -1.277.187 | -2.316.067,"-1,43% | -2,92% | -4,23% | -11,20% | -21,43% | -33,09%",,24ddías,4.683.933,4.752.115 | 4.824.969 | 4.890.795 | 5.274.706 | 5.961.120 | 7.000.000,Delantero
Diangana,Elche,-23.707 | -55.801 | -79.997 | -231.548 | -597.790 | -1.228.639,"-1,40% | -3,23% | -4,57% | -12,17% | -26,34% | -42,37%",,24ddías,1.671.361,1.695.068 | 1.727.162 | 1.751.358 | 1.902.909 | 2.269.151 | 2.900.000,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +2.249,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,21ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 600.000,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -14.600,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -2,92%",,21ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 500.000,Mediocampista
Mikautadze,Villarreal,+129.920 | +186.160 | +653.266 | +1.330.350 | +4.692.952 | +2.261.587,"+0,25% | +0,36% | +1,27% | +2,61% | +9,87% | +4,52%",,17ddías,52.261.587,52.131.667 | 52.075.427 | 51.608.321 | 50.931.237 | 47.568.635 | 50.000.000,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +1.909,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,21ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 500.000,Defensa
Cardoso,Sevilla,-34.518 | -71.546 | -105.757 | -263.240 | -595.477 | -1.141.269,"-2,67% | -5,38% | -7,75% | -17,30% | -32,11% | -47,55%",,24ddías,1.258.731,1.293.249 | 1.330.277 | 1.364.488 | 1.521.971 | 1.854.208 | 2.400.000,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +53.332,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,21ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.000.000,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | +2.284,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,21ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 600.000,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | +2.606,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,21ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 700.000,Portero
Carlos Soler,Real Sociedad,-206.503 | -609.171 | -851.410 | -2.087.892 | -4.524.678 | -6.939.333,"-0,62% | -1,81% | -2,51% | -5,94% | -12,04% | -17,35%",,24ddías,33.060.667,33.267.170 | 33.669.838 | 33.912.077 | 35.148.559 | 37.585.345 | 40.000.000,Mediocampista
Sancris,Getafe,-22.504 | -46.706 | -69.620 | -173.524 | -401.036 | -799.311,"-2,44% | -4,93% | -7,18% | -16,15% | -30,81% | -47,02%",,24ddías,900.689,923.193 | 947.395 | 970.309 | 1.074.213 | 1.301.725 | 1.700.000,Delantero
Riedel,Espanyol,0 | 0 | 0 | 0 | 0 | +20.618,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,21ddías,5.520.618,5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.500.000,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | +2.316,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,21ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 600.000,Portero
Vlachodimos,Sevilla,0 | 0 | 0 | 0 | 0 | +56.479,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,21ddías,15.056.479,15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.000.000,Portero
Santos,Athletic,0 | 0 | 0 | 0 | 0 | +2.606,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,21ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 700.000,Portero
Thiago,Real Madrid,0 | 0 | 0 | 0 | 0 | +26.082,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,21ddías,7.026.082,7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.000.000,Mediocampista
Niculaesei,Elche,0 | 0 | 0 | 0 | 0 | +3.099,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,21ddías,803.099,803.099 | 803.099 | 803.099 | 803.099 | 803.099 | 800.000,Defensa
