Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-6.861 | -14.743 | -24.982 | -70.378 | -160.923 | -472.892,"-1,22% | -2,59% | -4,31% | -11,25% | -22,47% | -45,99%",,42ddías,555.282,562.143 | 570.025 | 580.264 | 625.660 | 716.205 | 1.028.174,Delantero
Deossa,Betis,+8.330 | +31.089 | +66.564 | +210.619 | +181.277 | -767.223,"+0,39% | +1,49% | +3,24% | +11,04% | +9,36% | -26,58%",,11ddías,2.118.749,2.110.419 | 2.087.660 | 2.052.185 | 1.908.130 | 1.937.472 | 2.885.972,Mediocampista
Bigas,Elche,-136.118 | -258.435 | -378.840 | -940.430 | -1.925.466 | -3.962.864,"-2,69% | -4,99% | -7,16% | -16,06% | -28,15% | -44,63%",,37ddías,4.915.525,5.051.643 | 5.173.960 | 5.294.365 | 5.855.955 | 6.840.991 | 8.878.389,Defensa
Ugrinic,Valencia,-40.650 | -42.644 | -37.191 | -201.222 | -884.004 | -3.066.789,"-1,06% | -1,11% | -0,97% | -5,04% | -18,90% | -44,70%",,2ddías,3.793.576,3.834.226 | 3.836.220 | 3.830.767 | 3.994.798 | 4.677.580 | 6.860.365,Mediocampista
Gorrotxategi,Real Sociedad,-163.206 | -320.972 | -474.803 | -1.233.020 | -2.543.235 | -4.388.813,"-2,62% | -5,03% | -7,27% | -16,91% | -29,57% | -42,01%",,35ddías,6.058.408,6.221.614 | 6.379.380 | 6.533.211 | 7.291.428 | 8.601.643 | 10.447.221,Mediocampista
Oriol Rey,Levante,-12.053 | -20.367 | -27.448 | -91.209 | -235.768 | -738.041,"-1,66% | -2,77% | -3,70% | -11,33% | -24,83% | -50,83%",,42ddías,713.829,725.882 | 734.196 | 741.277 | 805.038 | 949.597 | 1.451.870,Mediocampista
C. Álvarez,Levante,+14.224 | +81.615 | +116.863 | +610.042 | +2.567.834 | +7.608.989,"+0,07% | +0,41% | +0,60% | +3,19% | +14,94% | +62,64%",,41ddías,19.756.933,19.742.709 | 19.675.318 | 19.640.070 | 19.146.891 | 17.189.099 | 12.147.944,Mediocampista
Jorge Cabello,Levante,-17.138 | -35.361 | -51.905 | -142.070 | -337.913 | +225.059,"-2,09% | -4,22% | -6,08% | -15,05% | -29,65% | 0%",,19ddías,801.935,819.073 | 837.296 | 853.840 | 944.005 | 1.139.848 | 0,Defensa
Roger BruguéBrugui,Levante,-65.002 | -130.559 | -201.492 | -511.265 | -1.048.430 | -2.845.346,"-2,97% | -5,79% | -8,66% | -19,39% | -33,03% | -57,24%",,43ddías,2.125.478,2.190.480 | 2.256.037 | 2.326.970 | 2.636.743 | 3.173.908 | 4.970.824,Delantero
Dolan,Espanyol,-7.508 | -17.092 | -11.582 | -133.448 | -620.508 | -2.289.032,"-0,13% | -0,28% | -0,19% | -2,18% | -9,38% | -27,62%",,2ddías,5.997.765,6.005.273 | 6.014.857 | 6.009.347 | 6.131.213 | 6.618.273 | 8.286.797,Delantero
Dituro,Elche,+68.341 | +156.907 | +361.364 | +917.763 | +1.053.051 | +132.753,"+0,90% | +2,10% | +4,96% | +13,65% | +15,99% | +1,77%",,11ddías,7.640.656,7.572.315 | 7.483.749 | 7.279.292 | 6.722.893 | 6.587.605 | 7.507.903,Portero
