Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.917 | -21.220 | -32.181 | -86.557 | -201.196 | -601.336,"-1,74% | -3,34% | -4,97% | -12,34% | -24,66% | -49,45%",,36ddías,614.743,625.660 | 635.963 | 646.924 | 701.300 | 815.939 | 1.216.079,Delantero
Sancris,Getafe,-14.018 | -27.551 | -41.877 | -111.176 | -258.222 | -777.545,"-1,99% | -3,84% | -5,73% | -13,89% | -27,26% | -53,01%",,36ddías,689.173,703.191 | 716.724 | 731.050 | 800.349 | 947.395 | 1.466.718,Delantero
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,33ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,33ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Laporte,Athletic,-1.097.163 | -1.508.265 | -1.244.860 | +2.418.086 | +13.179.393 | +37.250.479,"-1,82% | -2,48% | -2,06% | +4,25% | +28,59% | +169,12%",,2ddías,59.276.458,60.373.621 | 60.784.723 | 60.521.318 | 56.858.372 | 46.097.065 | 22.025.979,Defensa
Alemão,Rayo,-55.235 | -120.265 | -180.972 | -473.381 | -997.113 | -2.665.405,"-1,42% | -3,05% | -4,51% | -11,01% | -20,67% | -41,05%",,36ddías,3.827.856,3.883.091 | 3.948.121 | 4.008.828 | 4.301.237 | 4.824.969 | 6.493.261,Delantero
Diangana,Elche,-24.533 | -50.136 | -76.808 | -180.884 | -387.340 | -1.201.603,"-1,80% | -3,61% | -5,42% | -11,89% | -22,43% | -47,28%",,36ddías,1.339.822,1.364.355 | 1.389.958 | 1.416.630 | 1.520.706 | 1.727.162 | 2.541.425,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,33ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,33ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 485.400,Mediocampista
Mikautadze,Villarreal,+1.319.726 | +2.276.262 | +3.131.575 | +5.590.970 | +7.211.724 | +12.484.540,"+2,28% | +3,99% | +5,58% | +10,41% | +13,85% | +26,67%",,29ddías,59.287.151,57.967.425 | 57.010.889 | 56.155.576 | 53.696.181 | 52.075.427 | 46.802.611,Delantero
