Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-8.404 | -16.244 | -23.496 | -65.096 | -148.415 | -440.072,"-1,54% | -2,93% | -4,18% | -10,78% | -21,60% | -44,96%",,44ddías,538.647,547.051 | 554.891 | 562.143 | 603.743 | 687.062 | 978.719,Delantero
Al Lal,Elche,-6.346 | -12.668 | -12.668 | -12.668 | -12.668 | -12.668,"-1,28% | -2,52% | -2,52% | -2,52% | -2,52% | -2,52%",,2ddías,489.268,495.614 | 501.936 | 501.936 | 501.936 | 501.936 | 501.936,Delantero
Barry,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.292,602.292 | 602.292 | 602.292 | 602.292 | 602.292 | 602.292,Mediocampista
Delgado,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Defensa
Álvaro,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,501.929,501.929 | 501.929 | 501.929 | 501.929 | 501.929 | 501.929,Defensa
Selton,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Meixús,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,485.372,485.372 | 485.372 | 485.372 | 485.372 | 485.372 | 485.372,Defensa
Óscar Marcos,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Yassin,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,501.932,501.932 | 501.932 | 501.932 | 501.932 | 501.932 | 501.932,Defensa
Beitia,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,501.861,501.861 | 501.861 | 501.861 | 501.861 | 501.861 | 501.861,Defensa
Marchal,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Mediocampista
Panach,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Jurado,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.292,602.292 | 602.292 | 602.292 | 602.292 | 602.292 | 602.292,Defensa
Nakoha,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,501.874,501.874 | 501.874 | 501.874 | 501.874 | 501.874 | 501.874,Defensa
Rosón,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Mediocampista
Carrera,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.633,702.633 | 702.633 | 702.633 | 702.633 | 702.633 | 702.633,Delantero
Carlos Macià,Villarreal,+8.536 | -8.519 | -26.328 | -26.328 | -26.328 | -26.328,"+1,11% | -1,08% | -3,28% | -3,28% | -3,28% | -3,28%",,1ddías,776.729,768.193 | 785.248 | 803.057 | 803.057 | 803.057 | 803.057,Mediocampista
Lebarbier,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Defensa
Javi Navarro,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.622,702.622 | 702.622 | 702.622 | 702.622 | 702.622 | 702.622,Portero
Joan Martínez,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.622,702.622 | 702.622 | 702.622 | 702.622 | 702.622 | 702.622,Defensa
Taufik,Atlético,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Mediocampista
Alemão,Rayo,-84.166 | -167.684 | -244.746 | -363.686 | -808.987 | -2.142.070,"-2,41% | -4,68% | -6,69% | -9,63% | -19,15% | -38,55%",,44ddías,3.414.588,3.498.754 | 3.582.272 | 3.659.334 | 3.778.274 | 4.223.575 | 5.556.658,Delantero
Laporte,Athletic,-975.973 | -1.825.881 | -2.643.558 | -7.309.724 | -7.572.373 | +20.387.358,"-1,89% | -3,49% | -4,97% | -12,64% | -13,03% | +67,63%",,10ddías,50.532.078,51.508.051 | 52.357.959 | 53.175.636 | 57.841.802 | 58.104.451 | 30.144.720,Defensa
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Javier Hernández,Espanyol,-183.923 | -530.762 | +9.460.331 | +9.460.331 | +9.460.331 | +9.460.331,"-1,80% | -5,02% | 0% | 0% | 0% | 0%",,2ddías,10.036.442,10.220.365 | 10.567.204 | 0 | 0 | 0 | 0,Mediocampista
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Bardghji,Barcelona,-86.987 | -174.302 | -264.637 | -670.016 | -1.386.784 | -2.176.369,"-3,19% | -6,19% | -9,10% | -20,23% | -34,42% | -45,17%",,20ddías,2.642.196,2.729.183 | 2.816.498 | 2.906.833 | 3.312.212 | 4.028.980 | 4.818.565,Delantero
Martínez Bastida,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Aleksandrov,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Delantero
Aller,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Portero
Ballestero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Monreal,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Defensa
Adrián Pérez,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Juan Hernández,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,581.760,581.760 | 581.760 | 581.760 | 581.760 | 581.760 | 581.760,Mediocampista
Espart,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Defensa
Benito,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Portero
Unai Santos,Osasuna,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Defensa
Iker Muñoz,Sevilla,-9.857 | -19.212 | -28.752 | -28.752 | -28.752 | -28.752,"-1,69% | -3,24% | -4,77% | -4,77% | -4,77% | -4,77%",,3ddías,573.532,583.389 | 592.744 | 602.284 | 602.284 | 602.284 | 602.284,Defensa
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Ángel Pérez,Alavés,-36.101 | -103.238 | -174.330 | -484.093 | -1.337.534 | -4.409.406,"-0,56% | -1,58% | -2,64% | -7,01% | -17,23% | -40,70%",,44ddías,6.423.889,6.459.990 | 6.527.127 | 6.598.219 | 6.907.982 | 7.761.423 | 10.833.295,Delantero
Álex Sánchez,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Satriano,Getafe,-655.344 | -1.279.091 | -1.892.668 | +24.842.169 | +24.842.169 | +24.842.169,"-2,20% | -4,20% | -6,09% | 0% | 0% | 0%",,6ddías,29.178.595,29.833.939 | 30.457.686 | 31.071.263 | 0 | 0 | 0,Delantero
A. Riquelme,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Mesonero,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,41ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Mediocampista
Romero,Getafe,-146.923 | -347.810 | -484.545 | -2.538.976 | -2.538.976 | -2.538.976,"-0,53% | -1,25% | -1,73% | -8,43% | -8,43% | -8,43%",,3ddías,27.577.290,27.724.213 | 27.925.100 | 28.061.835 | 30.116.266 | 30.116.266 | 30.116.266,Defensa
Boselli,Getafe,-73.626 | -147.806 | -218.545 | -462.612 | -462.612 | -462.612,"-2,94% | -5,73% | -8,25% | -15,99% | -15,99% | -15,99%",,7ddías,2.431.387,2.505.013 | 2.579.193 | 2.649.932 | 2.893.999 | 2.893.999 | 2.893.999,Defensa
Cepeda,Elche,-14.219 | -27.236 | -47.742 | -60.533 | -168.636 | -642.192,"-1,35% | -2,56% | -4,41% | -5,52% | -14,00% | -38,28%",,4ddías,1.035.609,1.049.828 | 1.062.845 | 1.083.351 | 1.096.142 | 1.204.245 | 1.677.801,Delantero
Julio Díaz,Sevilla,-4.697 | -8.676 | -11.906 | -28.310 | -28.310 | -31.258,"-1,03% | -1,89% | -2,58% | -5,92% | -5,92% | -6,50%",,6ddías,449.680,454.377 | 458.356 | 461.586 | 477.990 | 477.990 | 480.938,Defensa
Freeman,Villarreal,-56.264 | -113.140 | -160.876 | -323.005 | -641.090 | -1.621.587,"-2,44% | -4,79% | -6,67% | -12,55% | -22,17% | -41,88%",,44ddías,2.250.461,2.306.725 | 2.363.601 | 2.411.337 | 2.573.466 | 2.891.551 | 3.872.048,Defensa
Koski,Alavés,+126.588 | +198.643 | +245.272 | +238.519 | +238.519 | +238.519,"+13,83% | +23,56% | +30,80% | +29,70% | +29,70% | +29,70%",,5ddías,1.041.608,915.020 | 842.965 | 796.336 | 803.089 | 803.089 | 803.089,Defensa
Fidalgo,Betis,-53.614 | -87.989 | -131.808 | -263.697 | -603.108 | -1.564.684,"-2,09% | -3,38% | -4,98% | -9,48% | -19,33% | -38,33%",,41ddías,2.517.599,2.571.213 | 2.605.588 | 2.649.407 | 2.781.296 | 3.120.707 | 4.082.283,Mediocampista
Tete Morente,Elche,-38.363 | -84.609 | -134.501 | -313.448 | -708.286 | -2.023.351,"-2,12% | -4,56% | -7,06% | -15,05% | -28,58% | -53,34%",,44ddías,1.769.951,1.808.314 | 1.854.560 | 1.904.452 | 2.083.399 | 2.478.237 | 3.793.302,Delantero
Lookman,Atlético,-1.149.043 | -2.300.010 | -3.406.250 | -6.403.934 | +1.700.153 | +24.707.348,"-1,55% | -3,06% | -4,47% | -8,09% | +2,39% | +51,40%",,7ddías,72.778.751,73.927.794 | 75.078.761 | 76.185.001 | 79.182.685 | 71.078.598 | 48.071.403,Delantero
Vargas,Atlético,-18.428 | -35.427 | -43.469 | -106.832 | -245.077 | -746.653,"-2,31% | -4,35% | -5,28% | -12,06% | -23,93% | -48,93%",,44ddías,779.234,797.662 | 814.661 | 822.703 | 886.066 | 1.024.311 | 1.525.887,Mediocampista
