Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-13.211 | -27.375 | -41.624 | -102.626 | -230.681 | -703.096,"-1,96% | -3,98% | -5,94% | -13,46% | -25,91% | -51,59%",,32ddías,659.688,672.899 | 687.063 | 701.312 | 762.314 | 890.369 | 1.362.784,Delantero
Riedel,Espanyol,-176.619 | -368.947 | -368.947 | -368.947 | -368.947 | +3.488.696,"-3,31% | -6,68% | -6,68% | -6,68% | -6,68% | 0%",,2ddías,5.151.671,5.328.290 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 0,Defensa
Santos,Athletic,0 | 0 | 0 | 0 | 0 | -974.770,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,29ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 0,Portero
Laporte,Athletic,+950.654 | +1.768.960 | +3.010.797 | +8.883.434 | +22.337.485 | +54.362.418,"+1,61% | +3,04% | +5,29% | +17,42% | +59,51% | 0%",,23ddías,59.873.746,58.923.092 | 58.104.786 | 56.862.949 | 50.990.312 | 37.536.261 | 0,Defensa
Alemão,Rayo,-68.716 | -145.922 | -223.669 | -530.420 | -1.087.280 | -2.886.048,"-1,66% | -3,45% | -5,20% | -11,51% | -21,05% | -41,44%",,32ddías,4.077.662,4.146.378 | 4.223.584 | 4.301.331 | 4.608.082 | 5.164.942 | 6.963.710,Delantero
Diangana,Elche,-25.176 | -51.836 | -79.700 | -196.347 | -420.442 | -1.395.814,"-1,72% | -3,47% | -5,24% | -11,99% | -22,59% | -49,20%",,32ddías,1.441.038,1.466.214 | 1.492.874 | 1.520.738 | 1.637.385 | 1.861.480 | 2.836.852,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | -1.051.650,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,29ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 0,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -1.168.499,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,29ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 0,Mediocampista
Mikautadze,Villarreal,+747.017 | +1.244.499 | +1.681.216 | +3.091.128 | +4.354.160 | +7.627.212,"+1,37% | +2,30% | +3,13% | +5,91% | +8,53% | +15,97%",,25ddías,55.379.946,54.632.929 | 54.135.447 | 53.698.730 | 52.288.818 | 51.025.786 | 47.752.734,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | -1.151.990,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,29ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 0,Defensa
Cardoso,Sevilla,-25.249 | -53.513 | -83.090 | -202.489 | -456.965 | -1.312.522,"-2,41% | -4,97% | -7,51% | -16,52% | -30,87% | -56,20%",,32ddías,1.023.093,1.048.342 | 1.076.606 | 1.106.183 | 1.225.582 | 1.480.058 | 2.335.615,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +12.375.353,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0%",,29ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 0,Defensa
