Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-14.893 | -29.726 | -44.579 | -114.627 | -256.018 | -702.363,"-2,08% | -4,07% | -5,98% | -14,05% | -26,74% | -50,04%",,29ddías,701.312,716.205 | 731.038 | 745.891 | 815.939 | 957.330 | 1.403.675,Delantero
Vlachodimos,Sevilla,0 | 0 | 0 | 0 | 0 | +17.097,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,11%",,26ddías,15.056.479,15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.039.382,Portero
Diangana,Elche,-26.486 | -56.107 | -83.745 | -206.424 | -479.530 | -1.386.874,"-1,71% | -3,56% | -5,22% | -11,95% | -23,97% | -47,70%",,29ddías,1.520.738,1.547.224 | 1.576.845 | 1.604.483 | 1.727.162 | 2.000.268 | 2.907.612,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +675,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,11%",,26ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 601.574,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | +579,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,12%",,26ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 484.821,Mediocampista
Mikautadze,Villarreal,+649.949 | +979.458 | +1.200.009 | +1.623.303 | +3.103.514 | +5.525.436,"+1,23% | +1,86% | +2,29% | +3,12% | +6,13% | +11,47%",,22ddías,53.698.730,53.048.781 | 52.719.272 | 52.498.721 | 52.075.427 | 50.595.216 | 48.173.294,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +598,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,12%",,26ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.311,Defensa
Cardoso,Sevilla,-27.546 | -59.385 | -88.926 | -224.094 | -507.468 | -1.300.116,"-2,43% | -5,09% | -7,44% | -16,85% | -31,45% | -54,03%",,29ddías,1.106.183,1.133.729 | 1.165.568 | 1.195.109 | 1.330.277 | 1.613.651 | 2.406.299,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +16.576,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,12%",,26ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.036.756,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | +710,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,12%",,26ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 601.574,Delantero
