Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.783 | -22.108 | -33.753 | -76.899 | -175.866 | -513.473,"-1,86% | -3,73% | -5,59% | -11,89% | -23,58% | -47,39%",,40ddías,570.025,580.808 | 592.133 | 603.778 | 646.924 | 745.891 | 1.083.498,Delantero
Mikautadze,Villarreal,+300.826 | +1.289.501 | +2.082.910 | +6.283.129 | +9.939.984 | +14.870.070,"+0,48% | +2,11% | +3,45% | +11,19% | +18,93% | +31,26%",,33ddías,62.438.705,62.137.879 | 61.149.204 | 60.355.795 | 56.155.576 | 52.498.721 | 47.568.635,Delantero
Juan Hernández,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,581.760,581.760 | 581.760 | 581.760 | 581.760 | 581.760 | 581.760,Mediocampista
Adrián Pérez,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Monreal,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Defensa
Ballestero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Aller,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Portero
Martínez Bastida,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Taufik,Atlético,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,37ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Mediocampista
Bardghji,Barcelona,-98.759 | -204.364 | -313.129 | -707.205 | -1.500.903 | -1.819.414,"-3,19% | -6,38% | -9,45% | -19,08% | -33,35% | -37,76%",,16ddías,2.999.151,3.097.910 | 3.203.515 | 3.312.280 | 3.706.356 | 4.500.054 | 4.818.565,Delantero
