Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-7.228 | -14.480 | -22.362 | -67.016 | -153.637 | -454.916,"-1,30% | -2,58% | -3,92% | -10,90% | -21,91% | -45,37%",,43ddías,547.663,554.891 | 562.143 | 570.025 | 614.679 | 701.300 | 1.002.579,Delantero
Javi Navarro,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.622,702.622 | 702.622 | 702.622 | 702.622 | 702.622 | 702.622,Portero
Monreal,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Defensa
Adrián Pérez,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Juan Hernández,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,581.760,581.760 | 581.760 | 581.760 | 581.760 | 581.760 | 581.760,Mediocampista
Espart,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Defensa
Benito,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Portero
Aleksandrov,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Delantero
Beitia,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,501.861,501.861 | 501.861 | 501.861 | 501.861 | 501.861 | 501.861,Defensa
Aller,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Portero
Lebarbier,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Defensa
Barry,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.292,602.292 | 602.292 | 602.292 | 602.292 | 602.292 | 602.292,Mediocampista
Delgado,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Defensa
Álvaro,Villarreal,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,501.929,501.929 | 501.929 | 501.929 | 501.929 | 501.929 | 501.929,Defensa
Selton,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Meixús,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,485.372,485.372 | 485.372 | 485.372 | 485.372 | 485.372 | 485.372,Defensa
Ballestero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Martínez Bastida,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Al Lal,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,501.936,501.936 | 501.936 | 501.936 | 501.936 | 501.936 | 501.936,Delantero
Mikautadze,Villarreal,+593.182 | +764.940 | +1.115.782 | +4.283.988 | +9.858.306 | +14.106.631,"+0,94% | +1,22% | +1,79% | +7,23% | +18,36% | +28,53%",,36ddías,63.554.487,62.961.305 | 62.789.547 | 62.438.705 | 59.270.499 | 53.696.181 | 49.447.856,Delantero
Carlos Soler,Real Sociedad,+329.252 | +576.471 | +811.756 | +1.811.504 | +743.914 | -4.228.936,"+1,02% | +1,80% | +2,56% | +5,90% | +2,34% | -11,50%",,7ddías,32.532.052,32.202.800 | 31.955.581 | 31.720.296 | 30.720.548 | 31.788.138 | 36.760.988,Mediocampista
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Oso,Sevilla,-200.311 | -356.055 | -270.536 | -1.202.637 | -1.202.637 | -1.202.637,"-1,53% | -2,70% | -2,06% | -8,56% | -8,56% | -8,56%",,2ddías,12.850.695,13.051.006 | 13.206.750 | 13.121.231 | 14.053.332 | 14.053.332 | 14.053.332,Defensa
Cardoso,Sevilla,-17.318 | -35.081 | -52.093 | -135.522 | -316.342 | -916.415,"-2,15% | -4,25% | -6,19% | -14,65% | -28,60% | -53,71%",,43ddías,789.821,807.139 | 824.902 | 841.914 | 925.343 | 1.106.163 | 1.706.236,Defensa
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Taufik,Atlético,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Mediocampista
Diangana,Elche,-30.329 | -61.645 | -94.594 | -237.595 | -418.617 | -1.003.209,"-2,68% | -5,30% | -7,90% | -17,74% | -27,53% | -47,65%",,43ddías,1.102.089,1.132.418 | 1.163.734 | 1.196.683 | 1.339.684 | 1.520.706 | 2.105.298,Delantero
Alemão,Rayo,-80.922 | -157.984 | -182.659 | -326.048 | -799.887 | -2.158.547,"-2,26% | -4,32% | -4,96% | -8,52% | -18,60% | -38,14%",,43ddías,3.501.350,3.582.272 | 3.659.334 | 3.684.009 | 3.827.398 | 4.301.237 | 5.659.897,Delantero
Laporte,Athletic,-795.718 | -1.613.395 | -2.532.062 | -7.708.186 | -5.296.131 | +22.935.615,"-1,52% | -3,03% | -4,68% | -13,01% | -9,31% | +80,12%",,9ddías,51.562.241,52.357.959 | 53.175.636 | 54.094.303 | 59.270.427 | 56.858.372 | 28.626.626,Defensa
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Javier Hernández,Espanyol,-343.602 | +9.647.491 | +9.647.491 | +9.647.491 | +9.647.491 | +9.647.491,"-3,25% | 0% | 0% | 0% | 0% | 0%",,1ddías,10.223.602,10.567.204 | 0 | 0 | 0 | 0 | 0,Mediocampista
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Bardghji,Barcelona,-86.230 | -176.565 | -268.883 | -692.326 | -1.410.763 | -2.088.297,"-3,06% | -6,07% | -8,97% | -20,23% | -34,07% | -43,34%",,19ddías,2.730.268,2.816.498 | 2.906.833 | 2.999.151 | 3.422.594 | 4.141.031 | 4.818.565,Delantero
Óscar Marcos,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Yassin,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,501.932,501.932 | 501.932 | 501.932 | 501.932 | 501.932 | 501.932,Defensa
Riedel,Espanyol,+123.212 | +50.122 | -16.854 | -317.419 | -937.846 | -937.846,"+2,76% | +1,11% | -0,37% | -6,48% | -16,99% | -16,99%",,1ddías,4.582.772,4.459.560 | 4.532.650 | 4.599.626 | 4.900.191 | 5.520.618 | 5.520.618,Defensa
Fontanet,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,581.987,581.987 | 581.987 | 581.987 | 581.987 | 581.987 | 581.987,Defensa
Montes,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,40ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Defensa
