Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-10.684 | -21.585 | -32.566 | -79.805 | -186.437 | -552.817,"-1,77% | -3,51% | -5,21% | -11,86% | -23,92% | -48,24%",,38ddías,593.094,603.778 | 614.679 | 625.660 | 672.899 | 779.531 | 1.145.911,Delantero
Carlos Soler,Real Sociedad,+221.107 | +359.360 | +330.701 | -180.449 | -1.980.200 | -6.893.530,"+0,72% | +1,17% | +1,08% | -0,58% | -5,99% | -18,15%",,2ddías,31.079.908,30.858.801 | 30.720.548 | 30.749.207 | 31.260.357 | 33.060.108 | 37.973.438,Mediocampista
Taufik,Atlético,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Mediocampista
Bardghji,Barcelona,-106.939 | -217.253 | -318.976 | -710.959 | -1.613.224 | -1.613.224,"-3,23% | -6,35% | -9,05% | -18,15% | -33,48% | -33,48%",,14ddías,3.205.341,3.312.280 | 3.422.594 | 3.524.317 | 3.916.300 | 4.818.565 | 4.818.565,Delantero
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Laporte,Athletic,-1.282.622 | -2.708.365 | -3.811.559 | -2.361.030 | +7.216.884 | +32.634.623,"-2,22% | -4,57% | -6,31% | -4,01% | +14,63% | +136,39%",,4ddías,56.562.062,57.844.684 | 59.270.427 | 60.373.621 | 58.923.092 | 49.345.178 | 23.927.439,Defensa
Alemão,Rayo,-43.163 | -91.983 | -147.676 | -410.963 | -948.457 | -2.498.634,"-1,14% | -2,40% | -3,80% | -9,91% | -20,25% | -40,08%",,38ddías,3.735.415,3.778.578 | 3.827.398 | 3.883.091 | 4.146.378 | 4.683.872 | 6.234.049,Delantero
Diangana,Elche,-36.522 | -67.374 | -92.045 | -193.904 | -399.029 | -1.127.945,"-2,79% | -5,03% | -6,75% | -13,22% | -23,87% | -46,99%",,38ddías,1.272.310,1.308.832 | 1.339.684 | 1.364.355 | 1.466.214 | 1.671.339 | 2.400.255,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Mikautadze,Villarreal,+1.035.950 | +2.121.246 | +3.424.320 | +6.758.816 | +9.131.259 | +14.534.130,"+1,72% | +3,58% | +5,91% | +12,37% | +17,47% | +31,02%",,31ddías,61.391.745,60.355.795 | 59.270.499 | 57.967.425 | 54.632.929 | 52.260.486 | 46.857.615,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Cardoso,Sevilla,-21.548 | -44.876 | -68.802 | -167.875 | -378.255 | -1.084.762,"-2,39% | -4,85% | -7,25% | -16,01% | -30,05% | -55,20%",,38ddías,880.467,902.015 | 925.343 | 949.269 | 1.048.342 | 1.258.722 | 1.965.229,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Sancris,Getafe,-13.542 | -27.420 | -41.502 | -102.493 | -238.992 | -719.179,"-2,01% | -3,98% | -5,90% | -13,41% | -26,53% | -52,08%",,38ddías,661.689,675.231 | 689.109 | 703.191 | 764.182 | 900.681 | 1.380.868,Delantero
Aller,Barcelona,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,702.705,702.705 | 702.705 | 702.705 | 702.705 | 702.705 | 702.705,Portero
Riedel,Espanyol,-77.789 | -158.984 | -240.664 | -587.083 | -779.411 | -779.411,"-1,61% | -3,24% | -4,83% | -11,02% | -14,12% | -14,12%",,8ddías,4.741.207,4.818.996 | 4.900.191 | 4.981.871 | 5.328.290 | 5.520.618 | 5.520.618,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Portero
Oluwaseyi,Villarreal,-55.456 | -116.559 | -172.360 | -437.701 | -1.002.262 | -2.824.904,"-1,89% | -3,89% | -5,64% | -13,18% | -25,79% | -49,49%",,38ddías,2.883.499,2.938.955 | 3.000.058 | 3.055.859 | 3.321.200 | 3.885.761 | 5.708.403,Delantero
Vlachodimos,Sevilla,+436.668 | +979.842 | +1.464.199 | +3.066.953 | +2.220.636 | +2.220.636,"+2,59% | +6,01% | +9,26% | +21,58% | +14,75% | +14,75%",,8ddías,17.277.115,16.840.447 | 16.297.273 | 15.812.916 | 14.210.162 | 15.056.479 | 15.056.479,Portero
Arriaga,Levante,-50.700 | -99.054 | -152.603 | -393.122 | -924.802 | -2.611.736,"-1,86% | -3,58% | -5,40% | -12,83% | -25,72% | -49,44%",,38ddías,2.671.057,2.721.757 | 2.770.111 | 2.823.660 | 3.064.179 | 3.595.859 | 5.282.793,Mediocampista
Ryan,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,13.550.652,13.550.652 | 13.550.652 | 13.550.652 | 13.550.652 | 13.550.652 | 13.550.652,Portero
Suazo,Sevilla,-1.642 | -11.202 | -45.958 | -283.060 | -892.726 | -2.733.061,"-0,03% | -0,21% | -0,84% | -4,98% | -14,19% | -33,62%",,38ddías,5.396.451,5.398.093 | 5.407.653 | 5.442.409 | 5.679.511 | 6.289.177 | 8.129.512,Defensa
Blázquez,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,581.656,581.656 | 581.656 | 581.656 | 581.656 | 581.656 | 581.656,Delantero
Sierra,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Delantero
Altozano,Sevilla,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 602.284,Mediocampista
Nacho Pérez,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,581.692,581.692 | 581.692 | 581.692 | 581.692 | 581.692 | 581.692,Defensa
Corralejo,Betis,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.248,602.248 | 602.248 | 602.248 | 602.248 | 602.248 | 602.248,Mediocampista
Veiga,Villarreal,-692.827 | -1.520.316 | -2.206.582 | -3.315.479 | +533.255 | +12.808.982,"-1,67% | -3,60% | -5,14% | -7,53% | +1,33% | +45,94%",,6ddías,40.691.497,41.384.324 | 42.211.813 | 42.898.079 | 44.006.976 | 40.158.242 | 27.882.515,Defensa
Thiago,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,7.026.082,7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.026.082,Mediocampista
Martínez Bastida,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.324,602.324 | 602.324 | 602.324 | 602.324 | 602.324 | 602.324,Mediocampista
Ballestero,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
Josan,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,1.204.650,1.204.650 | 1.204.650 | 1.204.650 | 1.204.650 | 1.204.650 | 1.204.650,Mediocampista
Marchal,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Mediocampista
Dani Martínez,Atlético,-3.147 | -6.197 | -9.000 | -19.973 | -46.982 | -112.782,"-0,76% | -1,48% | -2,14% | -4,62% | -10,23% | -21,48%",,18ddías,412.199,415.346 | 418.396 | 421.199 | 432.172 | 459.181 | 524.981,Defensa
Hierro,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Delantero
Aitor Mañas,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,562.164,562.164 | 562.164 | 562.164 | 562.164 | 562.164 | 562.164,Delantero
Izei,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,582.010,582.010 | 582.010 | 582.010 | 582.010 | 582.010 | 582.010,Mediocampista
Oláiz,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,35ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 602.316,Defensa
