Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-6.029 | -11.688 | -20.413 | -53.626 | -132.762 | -408.929,"-1,13% | -2,17% | -3,73% | -9,24% | -20,13% | -43,71%",,46ddías,526.638,532.667 | 538.326 | 547.051 | 580.264 | 659.400 | 935.567,Delantero
Nakoha,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,501.874,501.874 | 501.874 | 501.874 | 501.874 | 501.874 | 501.874,Defensa
Óscar Marcos,Celta,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Al Lal,Elche,-4.133 | -7.816 | -14.484 | -20.806 | -20.806 | -20.806,"-0,85% | -1,60% | -2,92% | -4,15% | -4,15% | -4,15%",,4ddías,481.130,485.263 | 488.946 | 495.614 | 501.936 | 501.936 | 501.936,Delantero
Yassin,Getafe,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,501.932,501.932 | 501.932 | 501.932 | 501.932 | 501.932 | 501.932,Defensa
Marchal,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.234,602.234 | 602.234 | 602.234 | 602.234 | 602.234 | 602.234,Mediocampista
Panach,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Jurado,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.292,602.292 | 602.292 | 602.292 | 602.292 | 602.292 | 602.292,Defensa
Rosón,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Mediocampista
Selton,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.257,602.257 | 602.257 | 602.257 | 602.257 | 602.257 | 602.257,Mediocampista
Carrera,Real Sociedad,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,702.633,702.633 | 702.633 | 702.633 | 702.633 | 702.633 | 702.633,Delantero
Carlos Macià,Villarreal,+12.504 | +21.761 | +29.346 | -5.518 | -5.518 | -5.518,"+1,59% | +2,81% | +3,82% | -0,69% | -0,69% | -0,69%",,3ddías,797.539,785.035 | 775.778 | 768.193 | 803.057 | 803.057 | 803.057,Mediocampista
Unai Santos,Osasuna,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,602.319,602.319 | 602.319 | 602.319 | 602.319 | 602.319 | 602.319,Defensa
Joan Martínez,Real Madrid,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,702.622,702.622 | 702.622 | 702.622 | 702.622 | 702.622 | 702.622,Defensa
Iker Muñoz,Sevilla,-7.368 | -14.422 | -24.601 | -43.496 | -43.496 | -43.496,"-1,30% | -2,52% | -4,22% | -7,22% | -7,22% | -7,22%",,5ddías,558.788,566.156 | 573.210 | 583.389 | 602.284 | 602.284 | 602.284,Defensa
Oláiz,Alavés,-7.394 | -14.474 | -24.680 | -42.922 | -42.922 | -42.922,"-1,30% | -2,52% | -4,23% | -7,13% | -7,13% | -7,13%",,5ddías,559.394,566.788 | 573.868 | 584.074 | 602.316 | 602.316 | 602.316,Defensa
Izei,Alavés,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,43ddías,582.010,582.010 | 582.010 | 582.010 | 582.010 | 582.010 | 582.010,Mediocampista
