Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-7.882 | -18.121 | -29.990 | -73.820 | -168.895 | -492.948,"-1,38% | -3,12% | -5,06% | -11,61% | -23,10% | -46,72%",,41ddías,562.143,570.025 | 580.264 | 592.133 | 635.963 | 731.038 | 1.055.091,Delantero
Santos,Athletic,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,38ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 702.606,Portero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,38ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 501.909,Defensa
Mikautadze,Villarreal,+350.842 | +802.986 | +1.640.343 | +5.778.658 | +10.070.275 | +14.588.347,"+0,56% | +1,30% | +2,68% | +10,14% | +19,10% | +30,27%",,34ddías,62.789.547,62.438.705 | 61.986.561 | 61.149.204 | 57.010.889 | 52.719.272 | 48.201.200,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,38ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 602.249,Defensa
Diangana,Elche,-32.949 | -69.299 | -107.444 | -226.224 | -413.111 | -1.046.656,"-2,75% | -5,62% | -8,45% | -16,28% | -26,20% | -47,35%",,41ddías,1.163.734,1.196.683 | 1.233.033 | 1.271.178 | 1.389.958 | 1.576.845 | 2.210.390,Delantero
Alemão,Rayo,-24.675 | -45.936 | -68.355 | -288.787 | -793.974 | -2.191.188,"-0,67% | -1,24% | -1,83% | -7,31% | -17,83% | -37,45%",,41ddías,3.659.334,3.684.009 | 3.705.270 | 3.727.689 | 3.948.121 | 4.453.308 | 5.850.522,Delantero
Laporte,Athletic,-918.667 | -1.988.915 | -3.312.572 | -7.609.087 | -1.117.457 | +27.694.553,"-1,70% | -3,61% | -5,86% | -12,52% | -2,06% | +108,69%",,7ddías,53.175.636,54.094.303 | 55.164.551 | 56.488.208 | 60.784.723 | 54.293.093 | 25.481.083,Defensa
Adam Boayar,Elche,0 | 0 | 0 | 0 | 0 | 0,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | 0,00%",,38ddías,702.711,702.711 | 702.711 | 702.711 | 702.711 | 702.711 | 702.711,Mediocampista
Oso,Sevilla,+85.519 | +106.250 | -355.603 | -846.582 | -846.582 | -846.582,"+0,65% | +0,81% | -2,62% | -6,02% | -6,02% | -6,02%",,2ddías,13.206.750,13.121.231 | 13.100.500 | 13.562.353 | 14.053.332 | 14.053.332 | 14.053.332,Defensa
