Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Valor,Valor ant.Ant.,Posición
Karrikaburu,Real Sociedad,-16.699 | -33.647 | -51.104 | -124.414 | -282.283 | -654.109,"-2,19% | -4,32% | -6,41% | -14,30% | -27,45% | -46,72%",,26ddías,745.891,762.590 | 779.538 | 796.995 | 870.305 | 1.028.174 | 1.400.000,Delantero
Oluwaseyi,Villarreal,-83.531 | -169.282 | -260.092 | -632.334 | -1.454.005 | -2.783.487,"-2,20% | -4,36% | -6,54% | -14,54% | -28,12% | -42,82%",,26ddías,3.716.513,3.800.044 | 3.885.795 | 3.976.605 | 4.348.847 | 5.170.518 | 6.500.000,Delantero
Alemão,Rayo,-80.676 | -154.327 | -222.509 | -550.153 | -1.216.062 | -2.470.394,"-1,75% | -3,29% | -4,68% | -10,83% | -21,16% | -35,29%",,26ddías,4.529.606,4.610.282 | 4.683.933 | 4.752.115 | 5.079.759 | 5.745.668 | 7.000.000,Delantero
Diangana,Elche,-33.550 | -66.878 | -90.585 | -219.066 | -558.566 | -1.295.517,"-2,05% | -4,00% | -5,34% | -12,01% | -25,82% | -44,67%",,26ddías,1.604.483,1.638.033 | 1.671.361 | 1.695.068 | 1.823.549 | 2.163.049 | 2.900.000,Delantero
Krug,Levante,0 | 0 | 0 | 0 | 0 | +2.249,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,23ddías,602.249,602.249 | 602.249 | 602.249 | 602.249 | 602.249 | 600.000,Defensa
Hugo López,Villarreal,0 | 0 | 0 | 0 | 0 | -14.600,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -2,92%",,23ddías,485.400,485.400 | 485.400 | 485.400 | 485.400 | 485.400 | 500.000,Mediocampista
Mikautadze,Villarreal,+168.117 | +237.134 | +367.054 | +1.164.176 | +3.684.228 | +2.498.721,"+0,32% | +0,45% | +0,70% | +2,27% | +7,55% | +5,00%",,19ddías,52.498.721,52.330.604 | 52.261.587 | 52.131.667 | 51.334.545 | 48.814.493 | 50.000.000,Delantero
Navarro,Valencia,0 | 0 | 0 | 0 | 0 | +1.909,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,23ddías,501.909,501.909 | 501.909 | 501.909 | 501.909 | 501.909 | 500.000,Defensa
Cardoso,Sevilla,-30.812 | -63.622 | -98.140 | -244.126 | -558.096 | -1.204.891,"-2,51% | -5,05% | -7,59% | -16,96% | -31,83% | -50,20%",,26ddías,1.195.109,1.225.921 | 1.258.731 | 1.293.249 | 1.439.235 | 1.753.205 | 2.400.000,Defensa
Oso,Sevilla,0 | 0 | 0 | 0 | 0 | +53.332,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,23ddías,14.053.332,14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.053.332 | 14.000.000,Defensa
Álex Costa,Sevilla,0 | 0 | 0 | 0 | 0 | +2.284,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,23ddías,602.284,602.284 | 602.284 | 602.284 | 602.284 | 602.284 | 600.000,Delantero
Folgado,Real Sociedad,0 | 0 | 0 | 0 | 0 | +2.606,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,23ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 700.000,Portero
Carlos Soler,Real Sociedad,-285.645 | -587.614 | -794.117 | -2.047.666 | -4.524.450 | -7.526.947,"-0,87% | -1,78% | -2,39% | -5,93% | -12,23% | -18,82%",,26ddías,32.473.053,32.758.698 | 33.060.667 | 33.267.170 | 34.520.719 | 36.997.503 | 40.000.000,Mediocampista
Sancris,Getafe,-21.050 | -42.845 | -65.349 | -161.042 | -371.448 | -842.156,"-2,40% | -4,76% | -7,08% | -15,81% | -30,22% | -49,54%",,26ddías,857.844,878.894 | 900.689 | 923.193 | 1.018.886 | 1.229.292 | 1.700.000,Delantero
Riedel,Espanyol,0 | 0 | 0 | 0 | 0 | +20.618,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,23ddías,5.520.618,5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.500.000,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | +2.316,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,23ddías,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 600.000,Portero
Vlachodimos,Sevilla,0 | 0 | 0 | 0 | 0 | +56.479,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,38%",,23ddías,15.056.479,15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.056.479 | 15.000.000,Portero
Santos,Athletic,0 | 0 | 0 | 0 | 0 | +2.606,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,23ddías,702.606,702.606 | 702.606 | 702.606 | 702.606 | 702.606 | 700.000,Portero
Veiga,Villarreal,+478.968 | +1.157.325 | +1.863.198 | +4.333.327 | +9.851.879 | +16.316.702,"+1,17% | +2,88% | +4,72% | +11,72% | +31,31% | +65,27%",,25ddías,41.316.702,40.837.734 | 40.159.377 | 39.453.504 | 36.983.375 | 31.464.823 | 25.000.000,Defensa
